feature,history_window_hours,mean_abs_future_correlation,horizon_1_corr,horizon_24_corr
weather_temperature_spread_c,13.0,0.0841058840707448,-0.047085347270464116,-0.09755092010229113
weather_temperature_spread_c,14.0,0.0872913036198637,-0.051713041556002086,-0.09968425814025092
weather_temperature_spread_c,15.0,0.09031952289677782,-0.055975634811513304,-0.10150582581885843
weather_temperature_spread_c,16.0,0.0932087376029433,-0.05992345202781641,-0.10328701335552345
weather_temperature_spread_c,17.0,0.09597912182181671,-0.06354613343137269,-0.105135451540464
weather_temperature_spread_c,18.0,0.09864152351758393,-0.0668026097779802,-0.10685377357229374
weather_temperature_spread_c,19.0,0.10122322216760338,-0.07000186519312336,-0.10877556264642267
weather_temperature_spread_c,20.0,0.10374190159861128,-0.07320500152207222,-0.11098780957693988
weather_temperature_spread_c,21.0,0.10621530359693081,-0.07638719626011087,-0.11358386666547528
weather_temperature_spread_c,22.0,0.10865055271654077,-0.07947817649150656,-0.11631534987164871
weather_temperature_spread_c,23.0,0.1110623203257779,-0.08257140087976993,-0.11929989764899156
weather_temperature_spread_c,24.0,0.11346557926101876,-0.08565655194388758,-0.12263494609369677
weather_temperature_spread_c,25.0,0.11587866271888853,-0.08874407738223183,-0.126396013274893
weather_temperature_spread_c,26.0,0.11831163893082881,-0.09172778068782128,-0.1304098929143483
weather_temperature_spread_c,27.0,0.1207714550085185,-0.09464950684552915,-0.1344997253817871
weather_temperature_spread_c,28.0,0.12326244176477714,-0.097624995834906,-0.1386429287796727
weather_temperature_spread_c,29.0,0.1257735242949142,-0.10062032409991581,-0.14258360255017402
weather_temperature_spread_c,30.0,0.12828278435122686,-0.1035256651958628,-0.14601755062789412
weather_temperature_spread_c,31.0,0.13076458299318672,-0.10627907867447343,-0.14872897413799027
weather_temperature_spread_c,32.0,0.13319825086895534,-0.10885403069498718,-0.15076115292484446
weather_temperature_spread_c,33.0,0.13557857364337225,-0.1112189154635087,-0.15245604546311833
weather_temperature_spread_c,34.0,0.13790630839218965,-0.11344368160575084,-0.1539143402619542
weather_temperature_spread_c,35.0,0.14018086734352073,-0.11562055873364149,-0.15519229937204032
weather_temperature_spread_c,36.0,0.14240393993878056,-0.11764952713295035,-0.1564342249329709
weather_temperature_spread_c,37.0,0.14457735269746538,-0.11949084785003872,-0.15755487157938108
weather_temperature_spread_c,38.0,0.14677435431901162,-0.12123554128355805,-0.1586630000611624
weather_temperature_spread_c,39.0,0.14892204664323547,-0.12290079266892577,-0.15958036700036657
weather_temperature_spread_c,40.0,0.1510126106791562,-0.12459932191990214,-0.16025082124801204
weather_temperature_spread_c,41.0,0.1530296999943759,-0.12616720144357488,-0.16057757399706402
weather_temperature_spread_c,42.0,0.15495504246963507,-0.1278610672872876,-0.16032809151799635
weather_temperature_spread_c,43.0,0.15676389722225173,-0.129725047561536,-0.15960319242476534
weather_temperature_spread_c,44.0,0.15842186532002245,-0.13184339668584388,-0.15815265848165935
weather_temperature_spread_c,45.0,0.15990303147003412,-0.13406177995851096,-0.15622835644954994
weather_temperature_spread_c,46.0,0.1612579412278418,-0.13654574641187467,-0.15385296837663712
weather_temperature_spread_c,47.0,0.16238674775116588,-0.1392716246972023,-0.15099122150755195
weather_temperature_spread_c,48.0,0.16326703012662658,-0.14233226438989288,-0.14772564703402502
weather_temperature_spread_c,49.0,0.16387033234483414,-0.14557367969228616,-0.14412728591555563
weather_temperature_spread_c,50.0,0.16418246027466568,-0.14890784621277994,-0.14025853366957677
weather_temperature_spread_c,51.0,0.1641884726458701,-0.1523129280103745,-0.1360567944454554
weather_temperature_spread_c,52.0,0.16389816270328103,-0.1555781191884074,-0.13207990445045123
weather_temperature_spread_c,53.0,0.16332374190521345,-0.15849051510426307,-0.12821583559619096
weather_temperature_spread_c,54.0,0.16248787371888804,-0.16089924799185168,-0.12448673605040746
weather_temperature_spread_c,55.0,0.16141368785392232,-0.16283157739914225,-0.12076133776187781
weather_temperature_spread_c,56.0,0.16012392225167604,-0.16454882752959163,-0.11708779667057734
weather_temperature_spread_c,57.0,0.1586294954642576,-0.16607096897721038,-0.11346964333380954
weather_temperature_spread_c,58.0,0.1569427079673097,-0.167421313012706,-0.10994290578417548
weather_temperature_spread_c,59.0,0.15507543291714806,-0.16871064443090145,-0.10651848679831415
weather_temperature_spread_c,60.0,0.15303300146866294,-0.16987694910481693,-0.10315989670284206
weather_temperature_spread_c,61.0,0.1508234071329676,-0.17099018633346388,-0.09987167925905982
weather_temperature_spread_c,62.0,0.14845302213233735,-0.1719599797439237,-0.09668353432451002
weather_temperature_spread_c,63.0,0.1459308481691508,-0.17273563442186643,-0.0935562009618692
weather_temperature_spread_c,64.0,0.14326299045984506,-0.17324033968857014,-0.09037581566231295
weather_temperature_spread_c,65.0,0.14046037742004516,-0.17326574434861977,-0.08717148432603561
weather_temperature_spread_c,66.0,0.13753999692120297,-0.1728876527812316,-0.08388768292331615
weather_temperature_spread_c,67.0,0.13452299194453693,-0.17190511885249057,-0.080697303106873
weather_temperature_spread_c,68.0,0.13143279970461919,-0.1705088147845673,-0.07745607606565684
weather_temperature_spread_c,69.0,0.1282843307457015,-0.1686794077438501,-0.07415720298731297
weather_temperature_spread_c,70.0,0.12509718817135748,-0.16642247962215767,-0.07090243225017319
weather_temperature_spread_c,71.0,0.12189366256586054,-0.16382031178190667,-0.06777061091632985
weather_temperature_spread_c,72.0,0.11869259171980312,-0.1609119314412277,-0.06475389540250999
weather_temperature_vc_halle3_c,1.0,0.5273261328866202,0.5576452484555223,0.5288228253968592
weather_temperature_vc_halle3_c,2.0,0.52729336313494,0.5577682357375815,0.5302180755354333
weather_temperature_vc_halle3_c,3.0,0.5275221816765207,0.5565838563059387,0.5314175153533196
weather_temperature_vc_halle3_c,4.0,0.5280140845188207,0.5554172946056787,0.5324247600792615
weather_temperature_vc_halle3_c,5.0,0.5287301785631433,0.5543018072514907,0.5334527037903728
weather_temperature_vc_halle3_c,6.0,0.5296380613191046,0.5532727168050737,0.5346803293711707
weather_temperature_vc_halle3_c,7.0,0.5306960267756278,0.5525918542804059,0.5357780822325408
